test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,34,0.9666666666666667,0.9629336412117214,0.9638888888888889,0.9583333333333334,0.9333333333333333,1.0
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,32,0.9833333333333333,0.9821551132463967,0.9861111111111112,0.9583333333333334,1.0,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,32,0.8333333333333334,0.8123973029633408,0.8095238095238094,1.0,0.6666666666666666,0.7619047619047619
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,41,0.95,0.9474747474747475,0.9583333333333334,0.875,1.0,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,48,1.0,1.0,1.0,1.0,1.0,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,50,0.9666666666666667,0.961038961038961,0.9555555555555556,1.0,0.8666666666666667,1.0
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,40,0.9666666666666667,0.9628449753885294,0.9619047619047619,1.0,0.9333333333333333,0.9523809523809523
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,61,0.9333333333333333,0.929271437782076,0.9384920634920636,0.9583333333333334,1.0,0.8571428571428571
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,55,0.9,0.8845744680851064,0.875,0.9583333333333334,0.6666666666666666,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,98,0.9833333333333333,0.9851558634339436,0.9861111111111112,0.9583333333333334,1.0,1.0
