true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,30,0,0,30
ADL,DS,28,0,2,30
ADL,DSL,27,3,0,30
ADL,DSS,29,0,1,30
ADL,NW,29,0,1,30
ADL,POG,30,0,0,30
ADL,RSS,29,0,1,30
ADL,SQ,30,0,0,30
Fall,CS,0,27,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,0,30,0,30
Fall,ITRS,0,30,0,30
Fall,LCC,0,30,0,30
Fall,slip,0,26,4,30
Fall,trip,0,25,5,30
Near_Fall,CS,1,1,25,27
Near_Fall,HB,3,1,26,30
Near_Fall,ITCS,0,0,3,3
Near_Fall,ITRS,1,1,28,30
Near_Fall,slip,0,2,28,30
Near_Fall,trip,1,3,26,30
All,,238,212,150,600
