test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,62,0.8666666666666667,0.8402534663404229,0.8285714285714286,1.0,0.5333333333333333,0.9523809523809523
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,22,0.7,0.6948044754625013,0.6821428571428573,0.875,0.6,0.5714285714285714
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,22,0.6,0.51380063060878,0.5365079365079365,1.0,0.13333333333333333,0.47619047619047616
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,38,0.8333333333333334,0.8311355311355312,0.8218253968253969,0.875,0.7333333333333333,0.8571428571428571
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,53,0.9666666666666667,0.9638888888888889,0.9638888888888889,0.9583333333333334,0.9333333333333333,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,67,0.9833333333333333,0.9807538091419407,0.9777777777777779,1.0,0.9333333333333333,1.0
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,94,0.95,0.944053826745164,0.9396825396825396,1.0,0.8666666666666667,0.9523809523809523
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,48,0.8666666666666667,0.862222953697608,0.8642857142857142,0.9166666666666666,0.8666666666666667,0.8095238095238095
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,97,0.9166666666666666,0.9061647572285869,0.8972222222222221,0.9583333333333334,0.7333333333333333,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,62,1.0,1.0,1.0,1.0,1.0,1.0
