true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,30,0,0,30
ADL,DS,28,0,2,30
ADL,DSL,25,5,0,30
ADL,DSS,29,0,1,30
ADL,NW,29,0,1,30
ADL,POG,30,0,0,30
ADL,RSS,30,0,0,30
ADL,SQ,29,0,1,30
Fall,CS,4,23,0,27
Fall,HB,1,29,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,5,25,0,30
Fall,ITRS,2,28,0,30
Fall,LCC,4,25,1,30
Fall,slip,6,23,1,30
Fall,trip,0,25,5,30
Near_Fall,CS,7,1,19,27
Near_Fall,HB,9,0,21,30
Near_Fall,ITCS,2,0,1,3
Near_Fall,ITRS,7,1,22,30
Near_Fall,slip,4,2,24,30
Near_Fall,trip,5,2,23,30
All,,286,192,122,600
