test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,67,0.9666666666666667,0.9638888888888889,0.9638888888888889,0.9583333333333334,0.9333333333333333,1.0
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,33,1.0,1.0,1.0,1.0,1.0,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,27,0.8666666666666667,0.8541295306001189,0.8603174603174604,1.0,0.8666666666666667,0.7142857142857143
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,29,0.9333333333333333,0.9318340764052802,0.934126984126984,0.9166666666666666,0.9333333333333333,0.9523809523809523
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,38,0.95,0.9480303749406739,0.9416666666666668,0.9583333333333334,0.8666666666666667,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,41,0.95,0.9407407407407407,0.9333333333333332,1.0,0.8,1.0
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,57,0.9666666666666667,0.9625,0.9682539682539683,1.0,1.0,0.9047619047619048
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,26,0.95,0.9440559440559442,0.9523809523809524,1.0,1.0,0.8571428571428571
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,44,0.8833333333333333,0.8619554204660588,0.8527777777777779,0.9583333333333334,0.6,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,59,1.0,1.0,1.0,1.0,1.0,1.0
