relative_path,subject,label,scenario,repetition
sub1\ADLs\AXR_AS_trial1.xlsx,sub1,ADL,AS,1
sub1\ADLs\AXR_AS_trial2.xlsx,sub1,ADL,AS,2
sub1\ADLs\AXR_AS_trial3.xlsx,sub1,ADL,AS,3
sub1\ADLs\AXR_DS_trial1.xlsx,sub1,ADL,DS,1
sub1\ADLs\AXR_DS_trial2.xlsx,sub1,ADL,DS,2
sub1\ADLs\AXR_DS_trial3.xlsx,sub1,ADL,DS,3
sub1\ADLs\JXL_DSL_trial1.xlsx,sub1,ADL,DSL,1
sub1\ADLs\JXL_DSL_trial2.xlsx,sub1,ADL,DSL,2
sub1\ADLs\JXL_DSL_trial3.xlsx,sub1,ADL,DSL,3
sub1\ADLs\JXL_DSS_trial1.xlsx,sub1,ADL,DSS,1
sub1\ADLs\JXL_DSS_trial2.xlsx,sub1,ADL,DSS,2
sub1\ADLs\JXL_DSS_trial3.xlsx,sub1,ADL,DSS,3
sub1\ADLs\JXL_NW_trial1.xlsx,sub1,ADL,NW,1
sub1\ADLs\JXL_NW_trial2.xlsx,sub1,ADL,NW,2
sub1\ADLs\JXL_NW_trial3.xlsx,sub1,ADL,NW,3
sub1\ADLs\JXL_POG_trial1.xlsx,sub1,ADL,POG,1
sub1\ADLs\JXL_POG_trial2.xlsx,sub1,ADL,POG,2
sub1\ADLs\JXL_POG_trial3.xlsx,sub1,ADL,POG,3
sub1\ADLs\JXL_RSS_trial1.xlsx,sub1,ADL,RSS,1
sub1\ADLs\JXL_RSS_trial2.xlsx,sub1,ADL,RSS,2
sub1\ADLs\JXL_RSS_trial3.xlsx,sub1,ADL,RSS,3
sub1\ADLs\JXL_SQ_trial1.xlsx,sub1,ADL,SQ,1
sub1\ADLs\JXL_SQ_trial2.xlsx,sub1,ADL,SQ,2
sub1\ADLs\JXL_SQ_trial3.xlsx,sub1,ADL,SQ,3
sub1\Falls\AXR_ITCS_trial1.xlsx,sub1,Fall,ITCS,1
sub1\Falls\AXR_ITCS_trial3.xlsx,sub1,Fall,ITCS,3
sub1\Falls\AXR_ITCS_trial4.xlsx,sub1,Fall,ITCS,4
sub1\Falls\AXR_slip_trial1.xlsx,sub1,Fall,slip,1
sub1\Falls\AXR_slip_trial2.xlsx,sub1,Fall,slip,2
sub1\Falls\AXR_slip_trial6.xlsx,sub1,Fall,slip,6
sub1\Falls\JXL_HB_trial2.xlsx,sub1,Fall,HB,2
sub1\Falls\JXL_HB_trial3.xlsx,sub1,Fall,HB,3
sub1\Falls\JXL_HB_trial4.xlsx,sub1,Fall,HB,4
sub1\Falls\JXL_ITDS_trial1.xlsx,sub1,Fall,ITDS,1
sub1\Falls\JXL_ITDS_trial2.xlsx,sub1,Fall,ITDS,2
sub1\Falls\JXL_ITDS_trial3.xlsx,sub1,Fall,ITDS,3
sub1\Falls\JXL_ITRS_trial1.xlsx,sub1,Fall,ITRS,1
sub1\Falls\JXL_ITRS_trial2.xlsx,sub1,Fall,ITRS,2
sub1\Falls\JXL_ITRS_trial4.xlsx,sub1,Fall,ITRS,4
sub1\Falls\JXL_LCC_trial1.xlsx,sub1,Fall,LCC,1
sub1\Falls\JXL_LCC_trial2.xlsx,sub1,Fall,LCC,2
sub1\Falls\JXL_LCC_trial3.xlsx,sub1,Fall,LCC,3
sub1\Falls\JXL_trip_trial1.xlsx,sub1,Fall,trip,1
sub1\Falls\JXL_trip_trial2.xlsx,sub1,Fall,trip,2
sub1\Falls\JXL_trip_trial4.xlsx,sub1,Fall,trip,4
sub1\Near_Falls\AXR_ITCS_trial2.xlsx,sub1,Near_Fall,ITCS,2
sub1\Near_Falls\AXR_ITCS_trial5.xlsx,sub1,Near_Fall,ITCS,5
sub1\Near_Falls\AXR_ITCS_trial6.xlsx,sub1,Near_Fall,ITCS,6
sub1\Near_Falls\AXR_slip_trial3.xlsx,sub1,Near_Fall,slip,3
sub1\Near_Falls\AXR_slip_trial4.xlsx,sub1,Near_Fall,slip,4
sub1\Near_Falls\AXR_slip_trial5.xlsx,sub1,Near_Fall,slip,5
sub1\Near_Falls\JXL_HB_trial1.xlsx,sub1,Near_Fall,HB,1
sub1\Near_Falls\JXL_HB_trial5.xlsx,sub1,Near_Fall,HB,5
sub1\Near_Falls\JXL_HB_trial6.xlsx,sub1,Near_Fall,HB,6
sub1\Near_Falls\JXL_ITRS_trial3.xlsx,sub1,Near_Fall,ITRS,3
sub1\Near_Falls\JXL_ITRS_trial5.xlsx,sub1,Near_Fall,ITRS,5
sub1\Near_Falls\JXL_ITRS_trial6.xlsx,sub1,Near_Fall,ITRS,6
sub1\Near_Falls\JXL_trip_trial3.xlsx,sub1,Near_Fall,trip,3
sub1\Near_Falls\JXL_trip_trial5.xlsx,sub1,Near_Fall,trip,5
sub1\Near_Falls\JXL_trip_trial6.xlsx,sub1,Near_Fall,trip,6
sub2\ADLs\TXI_AS_trial1.xlsx,sub2,ADL,AS,1
sub2\ADLs\TXI_AS_trial2.xlsx,sub2,ADL,AS,2
sub2\ADLs\TXI_AS_trial3.xlsx,sub2,ADL,AS,3
sub2\ADLs\TXI_DS_trial1.xlsx,sub2,ADL,DS,1
sub2\ADLs\TXI_DS_trial2.xlsx,sub2,ADL,DS,2
sub2\ADLs\TXI_DS_trial3.xlsx,sub2,ADL,DS,3
sub2\ADLs\TXI_DSL_trial1.xlsx,sub2,ADL,DSL,1
sub2\ADLs\TXI_DSL_trial2.xlsx,sub2,ADL,DSL,2
sub2\ADLs\TXI_DSL_trial3.xlsx,sub2,ADL,DSL,3
sub2\ADLs\TXI_DSS_trial1.xlsx,sub2,ADL,DSS,1
sub2\ADLs\TXI_DSS_trial2.xlsx,sub2,ADL,DSS,2
sub2\ADLs\TXI_DSS_trial3.xlsx,sub2,ADL,DSS,3
sub2\ADLs\TXI_NW_trial1.xlsx,sub2,ADL,NW,1
sub2\ADLs\TXI_NW_trial2.xlsx,sub2,ADL,NW,2
sub2\ADLs\TXI_NW_trial3.xlsx,sub2,ADL,NW,3
sub2\ADLs\TXI_POG_trial1.xlsx,sub2,ADL,POG,1
sub2\ADLs\TXI_POG_trial2.xlsx,sub2,ADL,POG,2
sub2\ADLs\TXI_POG_trial3.xlsx,sub2,ADL,POG,3
sub2\ADLs\TXI_RSS_trial1.xlsx,sub2,ADL,RSS,1
sub2\ADLs\TXI_RSS_trial2.xlsx,sub2,ADL,RSS,2
sub2\ADLs\TXI_RSS_trial3.xlsx,sub2,ADL,RSS,3
sub2\ADLs\TXI_SQ_trial1.xlsx,sub2,ADL,SQ,1
sub2\ADLs\TXI_SQ_trial2.xlsx,sub2,ADL,SQ,2
sub2\ADLs\TXI_SQ_trial3.xlsx,sub2,ADL,SQ,3
sub2\Falls\TXI_CS_trial1.xlsx,sub2,Fall,CS,1
sub2\Falls\TXI_CS_trial4.xlsx,sub2,Fall,CS,4
sub2\Falls\TXI_CS_trial5.xlsx,sub2,Fall,CS,5
sub2\Falls\TXI_HB_trial1.xlsx,sub2,Fall,HB,1
sub2\Falls\TXI_HB_trial2.xlsx,sub2,Fall,HB,2
sub2\Falls\TXI_HB_trial4.xlsx,sub2,Fall,HB,4
sub2\Falls\TXI_ITDS_trial1.xlsx,sub2,Fall,ITDS,1
sub2\Falls\TXI_ITDS_trial2.xlsx,sub2,Fall,ITDS,2
sub2\Falls\TXI_ITDS_trial3.xlsx,sub2,Fall,ITDS,3
sub2\Falls\TXI_ITRS_trial2.xlsx,sub2,Fall,ITRS,2
sub2\Falls\TXI_ITRS_trial3.xlsx,sub2,Fall,ITRS,3
sub2\Falls\TXI_ITRS_trial5.xlsx,sub2,Fall,ITRS,5
sub2\Falls\TXI_LCC_trial1.xlsx,sub2,Fall,LCC,1
sub2\Falls\TXI_LCC_trial2.xlsx,sub2,Fall,LCC,2
sub2\Falls\TXI_LCC_trial3.xlsx,sub2,Fall,LCC,3
sub2\Falls\TXI_slip_trial1.xlsx,sub2,Fall,slip,1
sub2\Falls\TXI_slip_trial2.xlsx,sub2,Fall,slip,2
sub2\Falls\TXI_slip_trial5.xlsx,sub2,Fall,slip,5
sub2\Falls\TXI_trip_trial2.xlsx,sub2,Fall,trip,2
sub2\Falls\TXI_trip_trial4.xlsx,sub2,Fall,trip,4
sub2\Falls\TXI_trip_trial5.xlsx,sub2,Fall,trip,5
sub2\Near_Falls\TXI_CS_trial2.xlsx,sub2,Near_Fall,CS,2
sub2\Near_Falls\TXI_CS_trial3.xlsx,sub2,Near_Fall,CS,3
sub2\Near_Falls\TXI_CS_trial6.xlsx,sub2,Near_Fall,CS,6
sub2\Near_Falls\TXI_HB_trial3.xlsx,sub2,Near_Fall,HB,3
sub2\Near_Falls\TXI_HB_trial5.xlsx,sub2,Near_Fall,HB,5
sub2\Near_Falls\TXI_HB_trial6.xlsx,sub2,Near_Fall,HB,6
sub2\Near_Falls\TXI_ITRS_trial1.xlsx,sub2,Near_Fall,ITRS,1
sub2\Near_Falls\TXI_ITRS_trial4.xlsx,sub2,Near_Fall,ITRS,4
sub2\Near_Falls\TXI_ITRS_trial6.xlsx,sub2,Near_Fall,ITRS,6
