test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,38,0.9666666666666667,0.9638888888888889,0.9638888888888889,0.9583333333333334,0.9333333333333333,1.0
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,27,0.9166666666666666,0.9136212624584718,0.9305555555555555,0.7916666666666666,1.0,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,23,0.9333333333333333,0.9307456140350877,0.9365079365079364,1.0,1.0,0.8095238095238095
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,47,0.9666666666666667,0.9638888888888889,0.9638888888888889,0.9583333333333334,0.9333333333333333,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,33,0.9666666666666667,0.9646739130434782,0.9722222222222222,0.9166666666666666,1.0,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,44,0.9666666666666667,0.961038961038961,0.9555555555555556,1.0,0.8666666666666667,1.0
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,34,1.0,1.0,1.0,1.0,1.0,1.0
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,31,0.9166666666666666,0.9130730380730382,0.9226190476190478,0.9583333333333334,1.0,0.8095238095238095
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,45,1.0,1.0,1.0,1.0,1.0,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,44,1.0,1.0,1.0,1.0,1.0,1.0
