true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,29,0,1,30
ADL,DS,29,0,1,30
ADL,DSL,23,7,0,30
ADL,DSS,25,1,4,30
ADL,NW,28,0,2,30
ADL,POG,25,0,5,30
ADL,RSS,26,0,4,30
ADL,SQ,30,0,0,30
Fall,CS,2,25,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,2,28,0,30
Fall,ITRS,0,30,0,30
Fall,LCC,0,30,0,30
Fall,slip,0,28,2,30
Fall,trip,0,25,5,30
Near_Fall,CS,4,3,20,27
Near_Fall,HB,3,0,27,30
Near_Fall,ITCS,0,0,3,3
Near_Fall,ITRS,3,1,26,30
Near_Fall,slip,5,1,24,30
Near_Fall,trip,2,1,27,30
All,,236,213,151,600
