test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,28,0.7166666666666667,0.7003367003367003,0.7535714285714286,0.375,0.9333333333333333,0.9523809523809523
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,26,0.8,0.7916305916305916,0.8083333333333332,0.625,0.8,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,39,0.75,0.7524469689676198,0.7630952380952382,0.7083333333333334,0.8666666666666667,0.7142857142857143
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,28,0.7,0.6435086652477957,0.6583333333333333,0.7083333333333334,0.26666666666666666,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,28,0.85,0.8468765617191405,0.85,0.75,0.8,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,36,0.9166666666666666,0.9181847545219638,0.9305555555555555,0.7916666666666666,1.0,1.0
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,19,0.7166666666666667,0.6191033138401559,0.6555555555555556,0.8333333333333334,0.13333333333333333,1.0
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,26,0.6666666666666666,0.6617826617826618,0.6829365079365078,0.4583333333333333,0.7333333333333333,0.8571428571428571
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,24,0.7,0.6285714285714286,0.65,0.75,0.2,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,17,0.7833333333333333,0.7445016199733181,0.7444444444444445,0.8333333333333334,0.4,1.0
