true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,24,0,6,30
ADL,DS,23,0,7,30
ADL,DSL,0,30,0,30
ADL,DSS,24,2,4,30
ADL,NW,18,0,12,30
ADL,POG,20,0,10,30
ADL,RSS,28,0,2,30
ADL,SQ,27,0,3,30
Fall,CS,1,26,0,27
Fall,HB,0,30,0,30
Fall,ITCS,0,3,0,3
Fall,ITDS,0,30,0,30
Fall,ITRS,0,30,0,30
Fall,LCC,0,30,0,30
Fall,slip,2,25,3,30
Fall,trip,1,26,3,30
Near_Fall,CS,13,0,14,27
Near_Fall,HB,11,0,19,30
Near_Fall,ITCS,0,0,3,3
Near_Fall,ITRS,10,0,20,30
Near_Fall,slip,9,0,21,30
Near_Fall,trip,14,1,15,30
All,,225,233,142,600
