true_label,scenario,ADL,Fall,Near_Fall,All
ADL,AS,26,0,4,30
ADL,DS,23,0,7,30
ADL,DSL,9,21,0,30
ADL,DSS,26,0,4,30
ADL,NW,23,0,7,30
ADL,POG,27,0,3,30
ADL,RSS,27,0,3,30
ADL,SQ,28,0,2,30
Fall,CS,3,24,0,27
Fall,HB,2,28,0,30
Fall,ITCS,2,1,0,3
Fall,ITDS,6,24,0,30
Fall,ITRS,1,29,0,30
Fall,LCC,3,27,0,30
Fall,slip,5,23,2,30
Fall,trip,0,25,5,30
Near_Fall,CS,6,1,20,27
Near_Fall,HB,6,0,24,30
Near_Fall,ITCS,0,0,3,3
Near_Fall,ITRS,7,1,22,30
Near_Fall,slip,7,2,21,30
Near_Fall,trip,5,2,23,30
All,,242,208,150,600
