test_subject,validation_subject,train_subjects,train_trials,validation_trials,test_trials,epochs_ran,accuracy,macro_f1,balanced_accuracy,recall_ADL,recall_Near_Fall,recall_Fall
sub1,sub2,"['sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,37,0.8166666666666667,0.7448706512042819,0.7555555555555555,1.0,0.26666666666666666,1.0
sub2,sub3,"['sub1', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,38,0.9666666666666667,0.9646739130434782,0.9722222222222222,0.9166666666666666,1.0,1.0
sub3,sub4,"['sub1', 'sub2', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,22,0.7666666666666667,0.7427828831337603,0.7373015873015873,0.9166666666666666,0.5333333333333333,0.7619047619047619
sub4,sub5,"['sub1', 'sub2', 'sub3', 'sub6', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,35,0.8833333333333333,0.8803188681237462,0.9027777777777778,0.7083333333333334,1.0,1.0
sub5,sub6,"['sub1', 'sub2', 'sub3', 'sub4', 'sub7', 'sub8', 'sub9', 'sub10']",480,60,60,46,0.9166666666666666,0.9136212624584718,0.9305555555555555,0.7916666666666666,1.0,1.0
sub6,sub7,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub8', 'sub9', 'sub10']",480,60,60,45,0.9833333333333333,0.9850671976107517,0.9841269841269842,1.0,1.0,0.9523809523809523
sub7,sub8,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub9', 'sub10']",480,60,60,48,0.9833333333333333,0.9817030260380014,0.9777777777777779,1.0,0.9333333333333333,1.0
sub8,sub9,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub10']",480,60,60,24,0.85,0.8476593233674272,0.8503968253968255,0.875,0.8666666666666667,0.8095238095238095
sub9,sub10,"['sub1', 'sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8']",480,60,60,49,0.8,0.7667055167055167,0.7666666666666666,0.8333333333333334,0.4666666666666667,1.0
sub10,sub1,"['sub2', 'sub3', 'sub4', 'sub5', 'sub6', 'sub7', 'sub8', 'sub9']",480,60,60,25,0.8166666666666667,0.7990653043975439,0.7869047619047619,0.875,0.5333333333333333,0.9523809523809523
